id,station,x,y,docks,deployment_year
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,-71.0952,42.3312,23,2011
C32002,Boston Medical Center - E Concord St at Harrison Ave,-71.0731,42.3364,19,2019
C32003,Back Bay T Stop - Dartmouth St at Stuart St,-71.0766,42.3481,19,2011
C32004,Massachusetts Ave at Columbus Ave,-71.0802,42.3395,14,2011
C32005,Washington St at Lenox St,-71.079,42.3351,15,2011
C32006,Washington St at Rutland St,-71.074,42.3385,27,2011
C32007,Prudential Center - 101 Huntington Ave,-71.0807,42.3465,25,2011
C32008,Boylston St at Fairfield St,-71.0824,42.3488,19,2011
C32009,Dorchester Ave at Gillette Park,-71.0574,42.344,15,2011
C32010,Congress St at Sleeper St,-71.0493,42.351,19,2011
C32012,Andrew T Stop - Dorchester Ave at Dexter St,-71.057,42.3305,15,2013
C32013,JFK/UMass T Stop,-71.0512,42.3203,15,2012
C32014,University of Massachusetts Boston - Campus Center,-71.0365,42.3122,19,2012
C32015,NA,-71.0754,42.3253,15,pre-2017
C32016,W Broadway at Dorchester St,-71.0462,42.336,17,2013
C32017,South Boston Library - 646 E Broadway,-71.0388,42.3357,15,2013
C32018,E Cottage St at Columbia Rd,-71.062,42.3206,19,2013
C32019,Uphams Corner,-71.0654,42.3173,15,2013
C32020,ID Building East,-71.0287,42.3448,17,2014
C32021,ID Building West,-71.0316,42.3448,19,2014
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,-71.0665,42.3266,15,2014
C32023,Murphy Skating Rink - 1880 Day Blvd,-71.0237,42.3364,19,2014
C32024,State Street at Channel Center,-71.0526,42.3441,19,2014
C32025,Ink Block - Harrison Ave at Herald St,-71.0632,42.3459,15,2015
C32027,Franklin Park - Seaver St at Humboldt Ave,-71.0922,42.3098,15,2015
C32028,The Lawn on D,-71.044,42.3448,19,2015
C32029,W Broadway at D St,-71.0514,42.3391,23,2015
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,-71.0853,42.3035,14,2015
C32031,Ryan Playground - Dorchester Ave at Harbor View St,-71.0567,42.3176,15,2015
C32032,Congress St at Northern Ave,-71.0376,42.3481,15,2016
C32033,Savin Hill T Stop - S Sydney St at Bay St,-71.0539,42.3106,14,2016
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,-71.0457,42.3516,15,2016
C32035,Troy Boston,-71.0623,42.3437,14,2017
C32036,Seaport Blvd at Sleeper St,-71.0482,42.3532,15,2017
C32037,Four Corners - 157 Washington St,-71.0793,42.3041,11,2018
C32038,Washington St at Talbot Ave,-71.0718,42.2903,17,2018
C32039,Park St at Norwell St,-71.0782,42.2944,15,2018
C32040,Gallivan Blvd at Adams St,-71.0547,42.283,15,2018
C32041,Fields Corner T Stop,-71.0607,42.2996,0,2018
C32042,Washington St at Bowdoin St,-71.0735,42.2992,0,2018
C32043,Talbot Ave At Blue Hill Ave,-71.0871,42.2946,15,2018
C32044,Blue Hill Ave at Almont St,-71.0937,42.2746,19,2018
C32045,Mattapan T Stop,-71.0936,42.2679,15,2018
C32046,Roslindale Village - Washington St,-71.1282,42.2863,15,2018
C32047,Roslindale Village - South St,-71.1278,42.2871,15,2018
C32048,Archdale Rd at Washington St,-71.1212,42.2927,15,2018
C32049,Thetford Ave at Norfolk St,-71.0794,42.2862,15,2018
C32050,Mattapan Library,-71.0932,42.2774,15,2018
C32051,Farragut Rd at E. 6th St,-71.025,42.3334,23,2018
C32052,Columbia Rd at Tierney Community Center,-71.0506,42.3302,19,2018
C32053,NA,-71.0575,42.3428,15,pre-2017
C32055,Codman Square Library,-71.0711,42.2874,17,2018
C32056,Tremont St at Northampton St,-71.0815,42.3389,19,2018
C32057,Harrison Ave at Mullins Way,-71.0638,42.3452,19,2018
C32058,Ring Rd,-71.0804,42.3483,15,2018
C32059,Belgrade Ave at Walworth St,-71.1367,42.2863,15,2018
C32060,Tremont St at W. Dedham St,-71.0742,42.3425,15,2019
C32061,Albany St at E. Brookline St,-71.0689,42.3366,15,2019
C32062,Ashmont T Stop,-71.0641,42.2857,15,2019
C32063,Mass Ave T Station,-71.0834,42.3414,16,2019
C32064,Sydney St at Carson St,-71.0536,42.3204,19,2019
C32065,Adams St at Lonsdale St,-71.0573,42.2917,19,2019
C32066,NA,-71.0626,42.2918,15,pre-2017
C32067,Washington St at Peters Park,-71.0669,42.343,19,2019
C32077,Columbus Ave at W. Canton St,-71.0765,42.3447,19,2019
C32078,Northbourne Rd at Hyde Park Ave,-71.1177,42.2912,0,2019
C32079,American Legion Hwy at Cummins Hwy,-71.1169,42.2788,15,2019
C32080,Mt. Hope St at Hyde Park Ave,-71.1187,42.2848,19,2019
C32081,Washington St at Denton Terr,-71.1342,42.2807,19,2019
C32083,Washington St at Walsh Playground,-71.0696,42.2772,19,2019
C32084,Washington St at Fuller St,-71.0715,42.282,15,2019
C32085,Centre St at W. Roxbury Post Office,-71.1534,42.2863,19,2019
C32086,Centre St at Parkway YMCA,-71.1573,42.2828,19,2019
C32087,Spring St at Powell St,-71.1634,42.2775,19,2019
C32088,NA,-71.0734,42.2709,15,pre-2017
C32089,Hyde Park Ave at Walk Hill St,-71.116,42.2961,15,2019
C32090,Geiger Gibson Community Health Center,-71.0454,42.3189,19,2019
C32091,645 Summer St,-71.0399,42.3418,19,2020
C32092,Blue Hill Ave at Havelock St,-71.091,42.286,18,2020
C32093,Harrison Ave at E. Dedham St,-71.0698,42.3392,19,2020
